payment_id,order_id,payment_method,amount,payment_date
216,237,COD,7993.00,2025-01-07
217,238,Card,1797.00,2025-04-22
218,239,UPI,8841.00,2025-04-22
219,240,NetBanking,8790.00,2025-03-23
220,241,UPI,1797.00,2025-02-24
221,242,Card,10092.00,2024-11-20
222,243,UPI,4195.00,2024-10-15
223,244,UPI,1499.00,2025-08-03
224,245,COD,12993.00,2025-07-01
225,246,UPI,2594.00,2024-10-25
226,247,UPI,2998.00,2025-05-31
227,248,COD,6191.00,2025-03-31
228,249,UPI,9493.00,2024-11-12
229,251,NetBanking,9998.00,2025-05-14
230,252,UPI,5693.00,2025-05-31
231,253,UPI,2998.00,2024-10-08
232,255,NetBanking,3494.00,2025-07-14
233,256,COD,10997.00,2025-02-06
234,257,UPI,4497.00,2025-02-06
235,258,UPI,6692.00,2025-05-13
236,259,UPI,3597.00,2025-04-10
237,261,COD,3498.00,2025-06-21
238,262,COD,3397.00,2025-03-16
239,263,UPI,7995.00,2025-01-18
240,264,Card,5345.00,2025-01-25
241,265,UPI,11993.00,2025-04-27
242,266,Card,7595.00,2024-09-01
243,267,NetBanking,5491.00,2024-09-23
244,268,Card,11196.00,2024-10-03
245,269,UPI,3696.00,2025-04-20
246,270,UPI,11693.00,2024-11-25
247,271,UPI,1398.00,2024-11-20
248,272,UPI,798.00,2025-03-02
249,274,UPI,2596.00,2024-09-09
250,275,COD,2999.00,2025-06-28
251,276,UPI,3998.00,2024-10-18
252,277,COD,13294.00,2025-04-11
253,278,UPI,2395.00,2024-09-19
254,279,NetBanking,4494.00,2025-01-22
255,280,UPI,4894.00,2025-03-17
256,281,UPI,10093.00,2025-01-24
257,282,UPI,25092.00,2025-06-24
258,283,COD,3195.00,2025-06-18
259,284,Card,11395.00,2024-10-17
260,285,UPI,2298.00,2024-11-08
261,286,COD,1047.00,2025-05-30
262,287,UPI,10192.00,2025-02-21
263,288,UPI,12292.00,2025-08-23
264,289,Card,18391.00,2024-09-01
265,290,UPI,7095.00,2024-12-31
266,291,COD,1499.00,2025-02-28
267,292,COD,9290.00,2024-11-25
268,293,UPI,2598.00,2024-09-18
269,294,COD,5295.00,2024-11-29
270,295,NetBanking,8493.00,2025-04-11
271,296,UPI,14792.00,2025-08-06
272,297,Card,2596.00,2025-03-06
273,298,NetBanking,2794.00,2025-05-03
274,299,Card,12292.00,2024-12-04
275,300,NetBanking,2697.00,2024-10-03
276,301,NetBanking,1197.00,2025-06-30
277,302,NetBanking,11688.00,2025-06-23
278,303,COD,2198.00,2024-11-01
279,304,UPI,5395.00,2025-08-16
280,305,COD,8841.00,2025-06-14
281,306,Card,2995.00,2025-04-02
282,307,COD,13990.00,2025-08-04
283,308,Card,2596.00,2025-03-22
284,309,COD,7191.00,2025-02-09
285,310,NetBanking,2895.00,2024-12-06
286,311,UPI,6796.00,2024-10-05
287,312,UPI,3393.00,2025-08-27
288,313,UPI,13391.00,2025-05-10
289,314,NetBanking,5695.00,2024-09-27
290,315,Card,16890.00,2025-08-18
291,316,UPI,8139.00,2025-03-14
292,317,Card,2195.00,2025-05-22
293,318,Card,15896.00,2025-01-13
294,319,NetBanking,5094.00,2024-09-16
295,320,Card,9894.00,2025-02-25
296,321,Card,3598.00,2024-12-03
297,322,NetBanking,9244.00,2025-02-19
298,323,COD,1197.00,2025-05-01
299,324,Card,6195.00,2024-11-17
300,325,UPI,7095.00,2024-10-12
301,326,COD,1497.00,2024-11-22
302,327,UPI,8243.00,2025-04-08
303,328,UPI,4092.00,2024-12-25
304,329,UPI,6394.00,2025-01-31
305,330,UPI,1499.00,2024-11-08
306,331,UPI,2997.00,2025-07-25
307,332,UPI,7493.00,2025-08-22
308,333,Card,5391.00,2025-04-04
309,334,COD,3596.00,2024-10-26
310,335,NetBanking,10794.00,2024-11-22
311,336,UPI,1198.00,2024-11-18
312,337,UPI,14691.00,2025-01-31
313,338,Card,6196.00,2024-09-26
314,339,COD,6196.00,2025-03-11
315,340,UPI,1497.00,2025-04-06
316,341,COD,13590.00,2024-10-24
317,342,NetBanking,13390.00,2024-10-30
318,343,UPI,5697.00,2024-12-26
319,344,COD,4496.00,2025-02-27
320,345,COD,20592.00,2024-11-26
321,346,UPI,8191.00,2024-12-30
322,347,Card,2697.00,2025-04-02
323,348,COD,12290.00,2025-06-17
324,349,Card,1799.00,2025-04-21
325,351,UPI,4097.00,2024-10-26
326,352,NetBanking,4998.00,2024-10-27
327,353,NetBanking,2997.00,2024-11-09
328,354,NetBanking,2795.00,2025-05-21
329,355,NetBanking,13994.00,2025-05-18
330,357,COD,14391.00,2025-09-01
331,358,UPI,599.00,2025-01-26
332,359,UPI,6295.00,2025-08-11
333,360,NetBanking,5997.00,2025-08-22
334,362,Card,11691.00,2024-09-30
335,363,UPI,4496.00,2025-07-06
336,364,Card,8993.00,2025-05-22
337,365,UPI,1798.00,2025-09-01
338,366,UPI,6995.00,2025-05-12
339,368,UPI,18890.00,2024-12-21
340,369,Card,12090.00,2025-03-15
341,371,UPI,2097.00,2025-06-03
342,372,UPI,9243.00,2024-10-24
343,374,NetBanking,16392.00,2025-03-20
344,375,Card,5997.00,2025-06-27
345,376,NetBanking,5494.00,2025-07-08
346,377,UPI,3143.00,2024-11-09
347,378,UPI,9791.00,2024-09-03
348,379,COD,12393.00,2024-12-25
349,380,NetBanking,1199.00,2024-10-08
350,381,UPI,11795.00,2025-02-17
351,382,Card,2945.00,2025-05-07
352,383,Card,4894.00,2024-12-24
353,384,Card,3596.00,2025-06-10
354,385,UPI,1797.00,2024-10-09
355,388,NetBanking,1798.00,2024-09-08
356,389,UPI,3598.00,2025-05-06
357,390,COD,2097.00,2025-03-10
358,391,NetBanking,1299.00,2025-04-23
359,392,NetBanking,2244.00,2025-01-13
360,393,UPI,8493.00,2025-03-12
361,394,UPI,5897.00,2025-07-29
362,395,COD,897.00,2025-04-02
363,396,NetBanking,26492.00,2025-07-02
364,397,NetBanking,2998.00,2025-06-21
365,398,COD,599.00,2025-07-04
366,399,NetBanking,2996.00,2025-05-07
367,400,COD,4994.00,2024-11-27
368,401,UPI,6894.00,2025-07-08
369,402,Card,5697.00,2025-08-05
370,404,Card,8692.00,2025-04-07
371,405,UPI,2998.00,2024-09-05
372,406,NetBanking,1798.00,2025-03-31
373,409,Card,2097.00,2025-04-18
374,410,NetBanking,1898.00,2025-07-13
375,411,COD,8443.00,2024-10-17
376,412,COD,7497.00,2025-01-26
377,414,COD,1499.00,2025-03-05
378,415,Card,11989.00,2025-08-11
379,416,UPI,2246.00,2025-01-21
380,417,NetBanking,1198.00,2025-05-18
381,418,COD,2695.00,2025-06-05
382,419,COD,6893.00,2025-05-06
383,421,Card,7895.00,2024-10-20
384,422,UPI,9094.00,2025-08-17
385,423,COD,10140.00,2024-11-02
386,424,COD,11791.00,2025-05-21
387,425,Card,7592.00,2025-04-25
388,426,UPI,3295.00,2025-06-09
389,427,UPI,6942.00,2025-04-08
390,428,NetBanking,3594.00,2025-01-17
391,429,UPI,4795.00,2025-02-09
392,430,NetBanking,8344.00,2025-05-04
393,431,COD,7195.00,2025-06-25
394,432,NetBanking,6443.00,2024-10-13
395,433,Card,2998.00,2025-03-27
396,434,COD,7792.00,2025-08-03
397,435,Card,1497.00,2024-11-25
398,436,Card,5093.00,2024-12-17
399,437,NetBanking,19194.00,2024-10-14
400,438,UPI,6142.00,2024-09-16
401,439,Card,8693.00,2024-12-01
402,440,COD,9993.00,2025-01-12
403,441,UPI,9392.00,2025-02-02
404,442,Card,14990.00,2025-07-30
405,444,UPI,5994.00,2025-07-24
406,445,UPI,2798.00,2025-01-23
407,446,UPI,2843.00,2024-12-21
408,447,COD,7294.00,2025-03-21
409,448,UPI,4192.00,2024-09-20
410,449,UPI,3394.00,2025-05-25
411,450,UPI,7794.00,2025-07-22
412,451,UPI,1248.00,2025-06-26
413,452,NetBanking,5997.00,2025-07-18
414,453,UPI,8595.00,2024-11-04
415,454,COD,10692.00,2025-03-05
416,455,NetBanking,6443.00,2025-06-18
417,456,UPI,5692.00,2025-04-21
418,457,UPI,7794.00,2025-07-16
419,458,UPI,5095.00,2025-08-17
420,459,UPI,499.00,2025-05-26
421,460,COD,5997.00,2025-05-09
422,461,UPI,5843.00,2025-05-28
423,462,COD,1047.00,2024-10-13
424,463,UPI,4495.00,2025-08-29
425,464,NetBanking,17394.00,2025-05-31
426,465,NetBanking,4245.00,2025-04-02
427,466,UPI,11040.00,2025-08-05
428,467,UPI,4743.00,2025-06-09
429,468,Card,399.00,2024-11-09
430,469,UPI,5196.00,2025-08-20
431,470,COD,4797.00,2025-03-09
432,471,NetBanking,9591.00,2024-12-21
433,472,NetBanking,7394.00,2024-09-22
434,473,Card,1197.00,2025-07-22
435,474,NetBanking,10092.00,2025-06-18
436,475,Card,4397.00,2025-05-17
437,476,COD,1198.00,2025-05-02
438,477,NetBanking,2196.00,2025-04-13
439,478,NetBanking,12596.00,2025-06-16
440,479,UPI,10391.00,2024-10-29
441,480,Card,3298.00,2025-07-15
442,481,Card,14997.00,2024-10-14
443,482,UPI,11894.00,2025-02-25
444,484,Card,2796.00,2024-09-25
445,485,Card,1197.00,2025-04-28
446,486,UPI,7891.00,2024-09-10
447,488,UPI,16790.00,2025-02-05
448,489,UPI,5196.00,2025-01-21
449,491,UPI,6493.00,2025-02-09
450,493,UPI,4998.00,2025-02-10
451,494,UPI,3097.00,2025-03-31
452,495,COD,6597.00,2025-07-10
453,496,UPI,3995.00,2025-05-16
454,497,Card,8092.00,2024-09-10
455,498,NetBanking,12888.00,2025-01-07
456,499,UPI,19841.00,2025-05-27
457,500,NetBanking,5142.00,2025-01-30
458,501,NetBanking,2499.00,2025-04-28
459,502,COD,19092.00,2025-03-21
460,503,Card,5196.00,2025-01-08
461,504,UPI,4397.00,2025-05-29
462,505,COD,1398.00,2024-11-15
463,506,NetBanking,499.00,2025-07-18
464,507,COD,17090.00,2024-09-08
465,508,NetBanking,14997.00,2025-07-06
466,509,UPI,4695.00,2024-12-16
467,510,Card,4396.00,2025-08-08
468,511,NetBanking,6893.00,2025-06-16
469,512,NetBanking,7695.00,2025-01-29
470,513,NetBanking,1797.00,2025-08-25
471,514,UPI,13191.00,2025-05-07
472,516,UPI,5396.00,2025-07-20
473,517,UPI,7492.00,2025-07-26
474,518,COD,11595.00,2025-08-20
475,519,Card,9441.00,2024-09-21
476,520,UPI,3598.00,2025-06-03
477,522,COD,1798.00,2025-08-28
478,523,UPI,3996.00,2025-03-10
479,524,UPI,8890.00,2025-05-18
480,525,UPI,5645.00,2025-08-15
481,526,UPI,3198.00,2025-02-07
482,527,Card,1197.00,2025-08-04
483,528,UPI,6396.00,2024-12-09
484,530,Card,11496.00,2025-06-11
485,531,COD,9296.00,2025-04-16
486,532,UPI,13491.00,2024-10-17
487,533,Card,549.00,2025-06-19
488,534,Card,4196.00,2025-04-29
489,535,Card,2598.00,2025-04-21
490,536,NetBanking,6094.00,2025-04-26
491,538,NetBanking,22990.00,2025-08-24
492,539,NetBanking,12592.00,2024-10-29
493,540,NetBanking,899.00,2025-02-15
494,541,Card,5992.00,2024-11-17
495,542,UPI,599.00,2025-02-25
496,543,UPI,1999.00,2025-06-10
497,544,UPI,7992.00,2025-04-11
498,545,UPI,3595.00,2025-06-12
499,546,COD,7239.00,2024-11-13
500,549,UPI,7940.00,2024-10-28
501,550,NetBanking,9693.00,2025-07-21
502,551,NetBanking,12291.00,2025-04-05
503,552,Card,4794.00,2024-10-02
504,553,NetBanking,1798.00,2024-10-13
505,554,NetBanking,7497.00,2025-01-19
506,555,Card,21194.00,2025-08-04
507,556,COD,1497.00,2024-11-16
508,557,COD,7196.00,2024-12-18
509,559,NetBanking,6393.00,2025-04-11
510,560,COD,7692.00,2025-04-11
511,561,UPI,10695.00,2025-08-11
512,562,Card,1797.00,2024-09-08
513,563,NetBanking,8996.00,2025-01-24
514,564,COD,2697.00,2025-07-04
515,565,COD,4195.00,2024-12-04
516,566,UPI,5895.00,2025-04-08
517,567,NetBanking,4693.00,2025-01-14
518,568,UPI,3897.00,2024-12-22
519,569,UPI,11493.00,2024-10-08
520,570,UPI,4994.00,2025-01-17
521,571,UPI,11492.00,2024-12-27
522,572,UPI,1098.00,2025-06-03
523,573,COD,5590.00,2025-06-11
524,574,NetBanking,15996.00,2024-11-11
525,577,UPI,14997.00,2025-05-02
526,578,COD,3845.00,2024-11-28
527,579,UPI,12990.00,2024-10-04
528,580,Card,7196.00,2025-07-03
529,581,COD,3496.00,2024-11-26
530,582,UPI,1499.00,2024-09-09
531,583,COD,3895.00,2025-04-04
532,584,NetBanking,7497.00,2025-01-02
533,585,NetBanking,17195.00,2025-07-19
534,587,COD,14892.00,2024-10-28
535,588,UPI,12093.00,2025-02-19
536,589,UPI,4096.00,2025-04-16
537,590,COD,5095.00,2025-04-02
538,591,UPI,3245.00,2025-03-19
539,592,COD,899.00,2024-11-05
540,593,NetBanking,8693.00,2025-04-05
541,594,UPI,5391.00,2024-10-15
542,595,COD,3297.00,2025-04-11
543,596,COD,5194.00,2024-09-20
544,597,COD,18693.00,2024-11-07
545,598,UPI,11290.00,2025-06-28
546,599,NetBanking,1198.00,2025-03-18
547,600,NetBanking,4797.00,2025-06-22
548,601,UPI,11190.00,2024-09-29
549,602,UPI,897.00,2025-02-21
550,603,COD,5695.00,2025-02-13
551,604,UPI,4845.00,2025-05-29
552,605,UPI,5196.00,2024-10-11
553,606,UPI,2994.00,2025-05-27
554,607,Card,5397.00,2024-12-08
555,608,UPI,5244.00,2025-06-25
556,609,NetBanking,4994.00,2024-12-26
557,611,Card,9240.00,2025-06-23
558,612,UPI,5397.00,2025-03-11
559,613,Card,4797.00,2025-02-13
560,614,COD,5496.00,2025-01-29
561,616,UPI,12990.00,2025-07-16
562,617,UPI,3897.00,2024-12-12
563,618,Card,6192.00,2025-03-22
564,619,COD,6094.00,2025-01-26
565,620,UPI,6192.00,2025-01-27
566,621,COD,7842.00,2024-10-16
567,622,COD,1197.00,2025-06-12
568,623,Card,1499.00,2025-04-27
569,624,Card,16294.00,2024-11-05
570,625,UPI,12340.00,2025-05-06
571,626,COD,5046.00,2024-10-01
572,627,Card,6195.00,2024-09-27
573,628,Card,2947.00,2025-08-19
574,629,NetBanking,3995.00,2025-05-07
575,631,Card,598.00,2024-10-31
576,632,UPI,10895.00,2025-04-15
577,633,UPI,3695.00,2025-02-05
578,634,NetBanking,799.00,2025-05-06
579,635,NetBanking,7695.00,2025-04-29
580,636,Card,4998.00,2025-06-30
581,637,NetBanking,8896.00,2025-02-26
582,638,COD,3296.00,2024-12-10
583,639,COD,2497.00,2025-08-25
584,640,UPI,10241.00,2025-05-24
585,641,NetBanking,798.00,2025-02-16
586,642,COD,1997.00,2025-08-18
587,643,NetBanking,5594.00,2024-12-03
588,644,COD,3596.00,2024-11-28
589,645,NetBanking,8392.00,2025-06-26
590,646,COD,4998.00,2024-11-16
591,647,UPI,1797.00,2025-07-19
592,648,NetBanking,2997.00,2025-08-16
593,651,Card,2247.00,2025-03-18
594,652,COD,1197.00,2025-05-12
595,654,UPI,8997.00,2025-01-24
596,655,COD,3198.00,2025-02-26
597,656,Card,9193.00,2025-03-02
598,657,COD,1299.00,2025-02-21
599,658,NetBanking,9493.00,2025-05-23
600,659,UPI,5994.00,2025-05-10
601,660,Card,2496.00,2025-03-07
602,661,COD,11091.00,2025-02-01
603,662,NetBanking,6795.00,2025-02-26
604,664,UPI,6595.00,2025-08-05
605,665,Card,6093.00,2025-04-11
606,666,UPI,899.00,2025-03-27
607,667,NetBanking,9594.00,2025-04-27
608,668,UPI,14492.00,2025-07-28
609,669,NetBanking,7497.00,2024-11-13
610,670,Card,14997.00,2025-01-07
611,671,UPI,2598.00,2025-06-27
612,672,COD,4094.00,2025-04-16
613,673,NetBanking,3993.00,2025-08-16
614,674,Card,3595.00,2025-08-08
615,675,UPI,5294.00,2025-06-01
616,676,COD,9291.00,2025-07-23
617,677,NetBanking,3998.00,2024-11-24
618,678,UPI,7497.00,2025-04-22
619,679,UPI,9695.00,2025-03-27
620,680,UPI,7294.00,2025-02-12
621,681,Card,6597.00,2025-03-13
622,682,NetBanking,5144.00,2024-09-28
623,683,UPI,5397.00,2025-04-21
624,684,COD,9091.00,2025-01-26
625,685,UPI,19941.00,2024-09-16
626,686,Card,4392.00,2025-05-01
627,688,NetBanking,2998.00,2025-05-02
628,689,Card,10494.00,2025-02-03
629,690,COD,4896.00,2024-11-07
630,691,UPI,9494.00,2025-03-05
631,692,UPI,799.00,2025-08-03
632,693,Card,4496.00,2024-09-20
633,694,NetBanking,7195.00,2025-05-09
634,695,COD,5497.00,2025-06-16
635,696,UPI,8794.00,2025-02-16
636,697,NetBanking,14390.00,2025-04-26
637,698,COD,9492.00,2024-12-18
638,699,UPI,13691.00,2024-12-03
639,700,COD,5492.00,2025-02-01
640,701,NetBanking,10692.00,2025-01-16
641,702,UPI,2596.00,2025-04-27
642,703,NetBanking,11195.00,2025-02-02
643,704,COD,1797.00,2025-06-11
644,705,COD,8095.00,2025-04-28
645,706,Card,1798.00,2024-12-05
646,707,UPI,12392.00,2025-06-29
647,708,UPI,599.00,2025-06-01
648,709,UPI,2246.00,2025-04-24
649,710,COD,15494.00,2024-09-15
650,711,NetBanking,2997.00,2024-10-31
651,712,NetBanking,11990.00,2024-12-14
652,713,NetBanking,8791.00,2025-01-28
653,714,UPI,11593.00,2025-01-17
654,715,COD,10194.00,2025-02-26
655,716,COD,6791.00,2025-01-31
656,717,UPI,1996.00,2024-11-29
657,718,UPI,3998.00,2025-06-14
658,719,NetBanking,3198.00,2025-05-16
659,721,UPI,3196.00,2025-06-13
660,722,UPI,4497.00,2025-06-15
661,723,COD,2645.00,2024-11-21
662,724,Card,6893.00,2025-01-05
663,726,COD,4097.00,2024-09-17
664,727,Card,10590.00,2025-04-13
665,728,NetBanking,7193.00,2025-02-26
666,729,UPI,10990.00,2025-08-26
667,730,UPI,3495.00,2025-06-06
668,732,COD,11892.00,2025-03-10
669,733,NetBanking,5195.00,2025-01-01
670,735,COD,2697.00,2025-03-05
671,736,NetBanking,7091.00,2024-10-19
672,737,UPI,8892.00,2025-05-25
673,738,NetBanking,6692.00,2025-05-17
674,739,Card,12443.00,2024-11-01
675,740,COD,899.00,2025-01-31
676,741,Card,2898.00,2025-02-06
677,742,NetBanking,9891.00,2024-09-23
678,743,COD,6594.00,2025-04-21
679,744,UPI,8195.00,2024-12-31
680,745,NetBanking,899.00,2025-07-22
681,746,UPI,9296.00,2024-09-30
682,747,COD,6594.00,2025-01-20
683,748,Card,10794.00,2025-05-11
684,749,UPI,2397.00,2024-10-29
685,750,UPI,1299.00,2025-03-28
686,751,UPI,4495.00,2025-03-19
687,752,Card,1197.00,2025-07-03
688,753,UPI,299.00,2025-06-12
689,755,COD,6893.00,2025-02-05
690,756,UPI,1647.00,2025-04-21
691,757,Card,9993.00,2024-10-03
692,759,Card,6596.00,2025-08-26
693,760,UPI,17992.00,2025-07-23
694,761,COD,4497.00,2025-07-09
695,762,Card,12592.00,2025-08-25
696,763,COD,1098.00,2024-11-30
697,764,UPI,10192.00,2024-12-25
698,765,NetBanking,1798.00,2025-05-13
699,766,NetBanking,14090.00,2024-09-06
